[Wed Apr 17 09:51:09.257695 2024] [php:error] [pid 921] [client 192.168.122.1:40776] PHP Fatal error:  Uncaught PDOException: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'phone_mumber' in 'field list' in /var/www/html/gestequip.izrt/public_html/backend/query/user_query.php:15\nStack trace:\n#0 /var/www/html/gestequip.izrt/public_html/backend/query/user_query.php(15): PDOStatement->execute()\n#1 /var/www/html/gestequip.izrt/public_html/pages/profile.php(30): request_info()\n#2 {main}\n  thrown in /var/www/html/gestequip.izrt/public_html/backend/query/user_query.php on line 15, referer: http://192.168.122.69/pages/notifications.php
[Mon Apr 29 09:38:11.642147 2024] [php:warn] [pid 16138] [client 192.168.122.1:57222] PHP Warning:  Undefined variable $errors in /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 11, referer: http://192.168.122.69/pages/profile.php
[Mon Apr 29 09:38:11.642721 2024] [php:warn] [pid 16138] [client 192.168.122.1:57222] PHP Warning:  Trying to access array offset on null in /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 11, referer: http://192.168.122.69/pages/profile.php
[Mon Apr 29 09:38:18.834453 2024] [php:warn] [pid 14988] [client 192.168.122.1:57224] PHP Warning:  Undefined variable $errors in /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 11, referer: http://192.168.122.69/index.php
[Mon Apr 29 09:38:18.834566 2024] [php:warn] [pid 14988] [client 192.168.122.1:57224] PHP Warning:  Trying to access array offset on null in /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 11, referer: http://192.168.122.69/index.php
[Mon Apr 29 09:38:18.834609 2024] [php:warn] [pid 14988] [client 192.168.122.1:57224] PHP Warning:  Undefined variable $errors in /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 25, referer: http://192.168.122.69/index.php
[Mon Apr 29 09:38:18.882498 2024] [php:notice] [pid 14988] [client 192.168.122.1:57224] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 2) in /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 87, referer: http://192.168.122.69/index.php
[Mon Apr 29 09:38:18.882731 2024] [php:warn] [pid 14988] [client 192.168.122.1:57224] PHP Warning:  Undefined variable $is_admin in /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 93, referer: http://192.168.122.69/index.php
[Mon Apr 29 10:26:11.453271 2024] [php:warn] [pid 16137] [client 192.168.122.1:54262] PHP Warning:  Undefined variable $errors in /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 11, referer: http://192.168.122.69/pages/equipment.php
[Mon Apr 29 10:26:11.453783 2024] [php:warn] [pid 16137] [client 192.168.122.1:54262] PHP Warning:  Trying to access array offset on null in /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 11, referer: http://192.168.122.69/pages/equipment.php
[Mon Apr 29 10:26:13.788686 2024] [php:warn] [pid 16137] [client 192.168.122.1:54262] PHP Warning:  Undefined variable $errors in /var/www/html/gestequip.izrt/public_html/backend/login/login.php on line 11, referer: http://192.168.122.69/index.php
